Name,Row,Column,Label
04-ortho__1_00.jpg,188,124,SERP
04-ortho__1_00.jpg,129,210,UNFO
04-ortho__1_00.jpg,189,107,SERP
04-ortho__1_00.jpg,210,179,SERP
04-ortho__1_00.jpg,231,112,SERP
04-ortho__1_00.jpg,213,239,SERP
04-ortho__1_00.jpg,193,290,SERP
04-ortho__1_00.jpg,191,358,UNFO
04-ortho__1_00.jpg,116,262,SERP
04-ortho__1_00.jpg,101,249,SERP
04-ortho__1_00.jpg,65,535,MERCC
04-ortho__1_00.jpg,72,525,MERCC
04-ortho__1_00.jpg,227,479,BSR
04-ortho__1_00.jpg,54,445,MERCC
04-ortho__1_00.jpg,134,538,MERCC
04-ortho__1_00.jpg,156,688,UNFO
04-ortho__1_00.jpg,236,622,MERCC
04-ortho__1_00.jpg,189,602,MERCC
04-ortho__1_00.jpg,122,697,UNFO
04-ortho__1_00.jpg,91,712,BSR
04-ortho__1_00.jpg,185,750,UNFO
04-ortho__1_00.jpg,147,743,UNFO
04-ortho__1_00.jpg,130,661,SUSA
04-ortho__1_00.jpg,151,611,MERCC
04-ortho__1_00.jpg,125,619,MERCC
04-ortho__1_00.jpg,186,739,UNFO
04-ortho__1_00.jpg,198,850,UNFO
04-ortho__1_00.jpg,181,920,UNFO
04-ortho__1_00.jpg,197,855,UNFO
04-ortho__1_00.jpg,193,854,UNFO
04-ortho__1_00.jpg,61,841,SERP
04-ortho__1_00.jpg,148,941,BSR
04-ortho__1_00.jpg,321,226,SERP
04-ortho__1_00.jpg,367,173,SERP
04-ortho__1_00.jpg,315,73,SERP
04-ortho__1_00.jpg,243,367,SERP
04-ortho__1_00.jpg,253,395,SERP
04-ortho__1_00.jpg,389,425,MERCC
04-ortho__1_00.jpg,411,583,MERCC
04-ortho__1_00.jpg,264,555,MERCC
04-ortho__1_00.jpg,409,513,MERCC
04-ortho__1_00.jpg,249,730,BSR
04-ortho__1_00.jpg,306,599,MERCC
04-ortho__1_00.jpg,246,622,MERCC
04-ortho__1_00.jpg,252,803,BSR
04-ortho__1_00.jpg,289,801,BSR
04-ortho__1_00.jpg,331,943,BSR
04-ortho__1_00.jpg,348,848,BSR
04-ortho__1_00.jpg,247,875,BSR
04-ortho__1_00.jpg,419,882,BSR
04-ortho__1_00.jpg,389,826,MERCC
04-ortho__1_00.jpg,497,220,SERP
04-ortho__1_00.jpg,490,102,Sedturfrub
04-ortho__1_00.jpg,501,144,Sedturfrub
04-ortho__1_00.jpg,513,79,Sedturfrub
04-ortho__1_00.jpg,583,144,SERP
04-ortho__1_00.jpg,437,75,Sedturfrub
04-ortho__1_00.jpg,610,248,SERP
04-ortho__1_00.jpg,576,316,SERP
04-ortho__1_00.jpg,602,392,SERP
04-ortho__1_00.jpg,557,372,SERP
04-ortho__1_00.jpg,467,356,SERP
04-ortho__1_00.jpg,463,392,MERCC
04-ortho__1_00.jpg,588,381,SERP
04-ortho__1_00.jpg,489,334,SERP
04-ortho__1_00.jpg,428,564,STER
04-ortho__1_00.jpg,544,574,BSR
04-ortho__1_00.jpg,510,519,Sedturfrub
04-ortho__1_00.jpg,579,520,Sedturfrub
04-ortho__1_00.jpg,433,545,MERCC
04-ortho__1_00.jpg,554,455,Sedturfrub
04-ortho__1_00.jpg,564,747,Sedturfrub
04-ortho__1_00.jpg,522,722,Sedturfrub
04-ortho__1_00.jpg,490,651,MERCC
04-ortho__1_00.jpg,595,629,MERCC
04-ortho__1_00.jpg,486,760,Sedturfrub
04-ortho__1_00.jpg,490,731,Sedturfrub
04-ortho__1_00.jpg,565,735,SLXVI
04-ortho__1_00.jpg,506,598,MERCC
04-ortho__1_00.jpg,446,865,BSR
04-ortho__1_00.jpg,515,806,Sedturfrub
04-ortho__1_00.jpg,458,790,Sedturfrub
04-ortho__1_00.jpg,490,852,Sedturfrub
04-ortho__1_00.jpg,703,213,BSR
04-ortho__1_00.jpg,777,209,BSR
04-ortho__1_00.jpg,623,107,SERP
04-ortho__1_00.jpg,689,56,Sedturfrub
04-ortho__1_00.jpg,701,211,BSR
04-ortho__1_00.jpg,672,79,Sedturfrub
04-ortho__1_00.jpg,787,187,SUSA
04-ortho__1_00.jpg,651,135,SERP
04-ortho__1_00.jpg,708,163,SUSA
04-ortho__1_00.jpg,673,347,MERCC
04-ortho__1_00.jpg,744,396,MERCC
04-ortho__1_00.jpg,641,384,BSR
04-ortho__1_00.jpg,768,334,MERCC
04-ortho__1_00.jpg,655,346,MERCC
04-ortho__1_00.jpg,749,483,MERCC
04-ortho__1_00.jpg,672,548,MERCC
04-ortho__1_00.jpg,624,421,UNFO
04-ortho__1_00.jpg,772,550,MERCC
04-ortho__1_00.jpg,789,446,MERCC
04-ortho__1_00.jpg,623,691,SLXVI
04-ortho__1_00.jpg,697,647,MERCC
04-ortho__1_00.jpg,686,772,MERCC
04-ortho__1_00.jpg,744,680,MERCC
04-ortho__1_00.jpg,760,884,MERCC
04-ortho__1_00.jpg,736,902,MERCC
04-ortho__1_00.jpg,627,905,SLXVI
04-ortho__1_00.jpg,672,852,SLXVI
04-ortho__1_00.jpg,644,787,SLXVI
04-ortho__1_00.jpg,778,846,BSR
04-ortho__1_00.jpg,613,802,SLXVI
04-ortho__1_00.jpg,831,69,SUSA
04-ortho__1_00.jpg,900,72,SUSA
04-ortho__1_00.jpg,938,174,BSR
04-ortho__1_00.jpg,948,218,SUSA
